City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
111,Port Alfred,ZA,2021-12-15 18:43:23,-33.5906,26.891,65.73,78,99,19.57,light rain
112,Kikwit,CD,2021-12-15 18:50:30,-5.041,18.8162,72.75,92,100,1.21,overcast clouds
113,Bluff,NZ,2021-12-15 18:42:37,-46.6,168.3333,53.8,82,100,17.54,light rain
114,Friockheim,GB,2021-12-15 18:50:31,56.6378,-2.6636,50.23,92,100,6.13,overcast clouds
115,Noumea,NC,2021-12-15 18:49:43,-22.2763,166.4572,78.01,99,63,1.14,broken clouds
116,Georgetown,MY,2021-12-15 18:40:51,5.4112,100.3354,81.9,79,20,3.0,few clouds
117,Qaanaaq,GL,2021-12-15 18:44:52,77.484,-69.3632,-3.96,69,0,3.8,clear sky
118,Anchorage,US,2021-12-15 18:44:22,61.2181,-149.9003,1.67,83,40,0.0,fog
119,Pevek,RU,2021-12-15 18:46:15,69.7008,170.3133,-23.21,91,49,1.99,scattered clouds
120,Mahebourg,MU,2021-12-15 18:45:24,-20.4081,57.7,76.24,88,40,4.61,light rain
121,Markova,UA,2021-12-15 18:50:33,48.6758,24.4138,31.59,99,100,4.27,overcast clouds
122,Hambantota,LK,2021-12-15 18:50:34,6.1241,81.1185,75.54,100,40,2.3,scattered clouds
123,Omsukchan,RU,2021-12-15 18:47:42,62.5333,155.8,-19.25,97,100,3.96,overcast clouds
124,Filingue,NE,2021-12-15 18:50:35,14.3521,3.3168,78.69,11,100,10.63,overcast clouds
125,Yamada,JP,2021-12-15 18:50:36,39.4667,141.95,37.22,71,2,5.17,clear sky
126,Takoradi,GH,2021-12-15 18:49:37,4.8845,-1.7554,81.25,80,84,10.92,broken clouds
127,Sioux Lookout,CA,2021-12-15 18:47:26,50.1001,-91.917,37.78,100,90,8.05,light intensity drizzle
128,Mar Del Plata,AR,2021-12-15 18:43:58,-38.0023,-57.5575,69.82,69,75,8.99,light rain
129,Carutapera,BR,2021-12-15 18:48:18,-1.195,-46.02,81.32,81,100,9.78,overcast clouds
130,Letlhakane,BW,2021-12-15 18:50:38,-21.4167,25.5833,84.61,24,6,3.15,clear sky
131,Encruzilhada,BR,2021-12-15 18:50:39,-15.5314,-40.9094,75.42,87,100,5.59,overcast clouds
132,Tura,IN,2021-12-15 18:45:18,25.5198,90.2201,58.35,73,43,3.04,scattered clouds
133,Raudeberg,NO,2021-12-15 18:50:40,61.9875,5.1352,47.8,90,14,8.99,few clouds
134,Portland,US,2021-12-15 18:40:42,45.5234,-122.6762,40.82,93,90,1.01,light rain
135,Sur,OM,2021-12-15 18:43:45,22.5667,59.5289,71.44,46,42,6.42,scattered clouds
136,Treinta Y Tres,UY,2021-12-15 18:50:42,-33.2333,-54.3833,74.14,67,97,8.34,overcast clouds
137,Dovers,VC,2021-12-15 18:50:43,12.8833,-61.1833,81.99,73,94,21.27,overcast clouds
138,Castro,BR,2021-12-15 18:44:20,-24.7911,-50.0119,75.06,81,96,3.8,overcast clouds
139,Guerrero Negro,MX,2021-12-15 18:49:32,27.9769,-114.0611,63.82,59,100,17.27,overcast clouds
140,Komsomolskiy,UZ,2021-12-15 18:50:44,40.4272,71.7189,36.82,80,75,4.61,mist
141,Benghazi,LY,2021-12-15 18:50:45,32.1167,20.0667,59.99,61,45,8.77,scattered clouds
142,Zhangjiakou,CN,2021-12-15 18:50:45,40.81,114.8794,26.67,41,0,13.91,clear sky
143,Shache,CN,2021-12-15 18:50:46,38.4167,77.2406,26.76,44,62,3.69,broken clouds
144,Saskylakh,RU,2021-12-15 18:44:30,71.9167,114.0833,-32.75,100,20,4.45,few clouds
145,Kavieng,PG,2021-12-15 18:49:13,-2.5744,150.7967,83.21,75,100,11.65,overcast clouds
146,Phon,TH,2021-12-15 18:50:47,15.816,102.5998,75.97,62,49,4.61,scattered clouds
147,East London,ZA,2021-12-15 18:44:22,-33.0153,27.9116,68.94,88,75,21.85,light rain
148,Smithers,CA,2021-12-15 18:50:48,54.7804,-127.1743,8.92,85,40,0.0,scattered clouds
149,Fredericton,CA,2021-12-15 18:49:34,45.9454,-66.6656,27.64,44,1,3.0,clear sky
150,High Level,CA,2021-12-15 18:50:50,58.5169,-117.136,-16.49,83,90,4.61,mist
151,Lakselv,NO,2021-12-15 18:50:50,70.0513,24.9718,26.42,80,0,12.66,light snow
152,Abeokuta,NG,2021-12-15 18:50:51,7.15,3.35,83.75,53,70,5.37,broken clouds
153,Namatanai,PG,2021-12-15 18:44:21,-3.6667,152.4333,80.24,82,100,6.06,light rain
154,College,US,2021-12-15 18:45:09,64.8569,-147.8028,-26.41,71,40,0.0,haze
155,Lebu,CL,2021-12-15 18:43:44,-37.6167,-73.65,62.29,61,5,12.93,clear sky
156,Ghioroiu,RO,2021-12-15 18:50:53,44.7,23.8333,36.63,80,8,3.2,clear sky
157,Saint-Augustin,CA,2021-12-15 18:50:54,51.226,-58.6502,12.34,60,1,22.48,clear sky
158,Koszalin,PL,2021-12-15 18:50:54,54.1944,16.1722,48.67,88,100,13.82,overcast clouds
159,Nishihara,JP,2021-12-15 18:46:12,26.1842,127.7558,67.28,73,20,6.91,few clouds
160,Togitsu,JP,2021-12-15 18:50:55,32.8333,129.85,50.99,81,100,9.51,overcast clouds
161,Puerto Lleras,CO,2021-12-15 18:50:57,3.0223,-73.4044,85.91,58,100,5.46,overcast clouds
162,Ribeira Grande,PT,2021-12-15 18:48:03,38.5167,-28.7,63.0,82,75,18.41,broken clouds
163,Morris,US,2021-12-15 18:46:39,40.8334,-74.5329,53.42,65,40,3.0,scattered clouds
164,Provideniya,RU,2021-12-15 18:43:36,64.3833,-173.3,1.08,97,100,24.16,snow
165,Cherskiy,RU,2021-12-15 18:43:05,68.75,161.3,-24.92,77,18,4.21,few clouds
166,Dingle,PH,2021-12-15 18:42:44,10.9995,122.6711,74.41,94,100,9.28,overcast clouds
167,Rafsanjan,IR,2021-12-15 18:51:01,30.4067,55.9939,49.84,24,100,2.86,overcast clouds
168,Pangody,RU,2021-12-15 18:51:01,65.85,74.4859,-16.24,90,23,7.49,few clouds
169,Xuddur,SO,2021-12-15 18:51:02,4.1213,43.8894,78.93,42,51,9.89,broken clouds
170,Goderich,CA,2021-12-15 18:48:19,43.7501,-81.7165,47.91,81,100,14.97,overcast clouds
171,Loukhi,RU,2021-12-15 18:51:03,66.0764,33.0381,29.79,94,100,8.9,overcast clouds
172,Mnogovershinnyy,RU,2021-12-15 18:51:04,53.9353,139.9242,-8.66,91,95,16.15,overcast clouds
173,Robertsonpet,IN,2021-12-15 18:51:05,12.9667,78.2833,66.92,97,89,5.28,overcast clouds
174,Camacha,PT,2021-12-15 18:44:52,33.0833,-16.3333,59.76,77,20,20.71,few clouds
175,Lixourion,GR,2021-12-15 18:51:06,38.2019,20.4314,52.48,67,6,2.19,clear sky
176,Leshukonskoye,RU,2021-12-15 18:51:09,64.8989,45.7622,23.99,96,100,7.65,light snow
177,Lompoc,US,2021-12-15 18:45:54,34.6391,-120.4579,58.12,73,1,0.0,clear sky
178,Half Moon Bay,US,2021-12-15 18:48:04,37.4636,-122.4286,54.14,76,75,4.0,broken clouds
179,Mount Isa,AU,2021-12-15 18:44:04,-20.7333,139.5,80.37,61,38,4.61,light rain
180,Ust-Nera,RU,2021-12-15 18:47:09,64.5667,143.2,-23.04,99,100,4.52,overcast clouds
181,Fare,PF,2021-12-15 18:47:17,-16.7,-151.0167,80.83,77,10,13.69,clear sky
182,Coahuayana,MX,2021-12-15 18:45:30,18.7333,-103.6833,90.54,45,0,4.45,clear sky
183,Ulladulla,AU,2021-12-15 18:51:13,-35.35,150.4667,65.77,93,100,7.18,overcast clouds
184,Gaoua,BF,2021-12-15 18:51:14,10.2992,-3.2508,86.76,17,25,4.76,scattered clouds
185,Ust-Maya,RU,2021-12-15 18:51:14,60.4167,134.5333,-26.46,95,100,3.74,overcast clouds
186,Ornskoldsvik,SE,2021-12-15 18:51:15,63.2909,18.7153,34.75,93,0,18.41,clear sky
187,Narovchat,RU,2021-12-15 18:51:16,53.8765,43.6946,27.75,94,91,4.25,overcast clouds
188,Mumbwa,ZM,2021-12-15 18:51:17,-14.9783,27.0619,69.96,63,99,1.95,overcast clouds
189,Trstena,SK,2021-12-15 18:51:17,49.361,19.6125,39.42,99,100,1.99,overcast clouds
190,Grand Gaube,MU,2021-12-15 18:42:58,-20.0064,57.6608,76.37,75,6,7.0,light rain
191,Rawson,AR,2021-12-15 18:48:02,-43.3002,-65.1023,69.33,56,77,16.64,broken clouds
192,Powell,US,2021-12-15 18:51:19,40.1578,-83.0752,60.12,48,90,4.0,overcast clouds
193,Leningradskiy,RU,2021-12-15 18:43:36,69.3833,178.4167,-23.8,99,100,7.05,overcast clouds
194,Tual,ID,2021-12-15 18:51:20,-5.6667,132.75,82.85,77,100,5.82,overcast clouds
195,Brae,GB,2021-12-15 18:42:38,60.3964,-1.353,48.11,74,48,27.81,scattered clouds
196,Moose Factory,CA,2021-12-15 18:51:22,51.2585,-80.6094,31.98,80,90,13.8,snow
