City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
230,Vanimo,PG,2021-12-15 18:26:20,-2.6741,141.3028,76.73,90,100,5.17
231,Marsa Matruh,EG,2021-12-15 18:26:22,31.3525,27.2453,60.1,58,48,14.5
232,Kalmunai,LK,2021-12-15 18:26:23,7.4167,81.8167,77.13,84,100,3.65
233,Santa Rosa,PH,2021-12-15 18:26:23,14.3122,121.1114,77.11,78,100,9.6
234,Tasiilaq,GL,2021-12-15 18:26:25,65.6145,-37.6368,28.56,77,99,2.95
235,Mandalgovi,MN,2021-12-15 18:26:26,45.7625,106.2708,-1.03,58,90,15.01
236,Celestun,MX,2021-12-15 18:26:26,20.8667,-90.4,83.32,61,45,9.95
237,Tura,IN,2021-12-15 18:26:27,25.5198,90.2201,58.8,73,49,3.22
238,Semnan,IR,2021-12-15 18:26:28,35.5729,53.3971,41.41,44,99,1.07
239,Coahuayana,MX,2021-12-15 18:26:28,18.7333,-103.6833,89.13,46,0,4.29
240,Surgut,RU,2021-12-15 18:26:29,61.25,73.4167,0.09,77,75,4.0
241,Kavaratti,IN,2021-12-15 18:26:29,10.5669,72.642,82.18,69,33,1.79
242,Luwuk,ID,2021-12-15 18:26:30,-0.9516,122.7875,78.53,86,90,2.84
243,Tuatapere,NZ,2021-12-15 18:26:30,-46.1333,167.6833,53.82,87,100,3.27
244,Rock Springs,US,2021-12-15 18:26:31,41.5875,-109.2029,22.44,56,40,10.0
245,Yenagoa,NG,2021-12-15 18:26:31,4.9247,6.2642,79.27,82,100,6.4
246,Bengkulu,ID,2021-12-15 18:26:32,-3.8004,102.2655,75.67,90,100,3.53
247,Acapulco,MX,2021-12-15 18:26:00,16.8634,-99.8901,85.82,62,1,8.05
248,Nowy Dwor Gdanski,PL,2021-12-15 18:26:33,54.2131,19.1177,48.2,96,100,11.14
249,Kaitangata,NZ,2021-12-15 18:26:33,-46.2817,169.8464,56.93,81,100,6.64
250,Cururupu,BR,2021-12-15 18:26:34,-1.8283,-44.8683,81.07,84,76,6.96
251,Rawson,AR,2021-12-15 18:26:34,-43.3002,-65.1023,70.52,54,16,17.69
252,Gadarwara,IN,2021-12-15 18:26:34,22.9167,78.7833,62.56,56,83,5.1
253,Morant Bay,JM,2021-12-15 18:26:35,17.8815,-76.4093,87.42,72,18,10.11
254,Pevek,RU,2021-12-15 18:26:36,69.7008,170.3133,-22.94,91,100,4.16
255,Hays,US,2021-12-15 18:26:37,30.0502,-98.0336,77.34,77,100,5.01
256,Lucea,JM,2021-12-15 18:26:37,18.451,-78.1736,86.86,70,18,19.53
257,Natalinsk,RU,2021-12-15 18:26:38,56.4739,57.8698,18.64,96,96,5.06
258,Malanje,AO,2021-12-15 18:26:39,-9.5402,16.341,65.95,96,87,2.95
259,Darhan,MN,2021-12-15 18:26:40,49.4867,105.9228,-2.81,87,100,3.15
260,Jasper,US,2021-12-15 18:26:41,37.2001,-94.3502,73.45,58,75,11.99
261,Husavik,IS,2021-12-15 18:26:41,66.0449,-17.3389,40.91,82,100,9.57
262,Komsomolskiy,UZ,2021-12-15 18:26:42,40.4272,71.7189,36.82,80,75,4.61
263,Tiksi,RU,2021-12-15 18:26:42,71.6872,128.8694,-17.73,99,100,0.76
264,Ayan,RU,2021-12-15 18:26:42,56.45,138.1667,-12.39,71,97,19.37
265,Kieta,PG,2021-12-15 18:26:43,-6.2167,155.6333,80.55,86,96,9.93
266,Constantine,DZ,2021-12-15 18:26:44,36.365,6.6147,45.81,81,20,5.75
267,Lanigan,CA,2021-12-15 18:26:44,51.8501,-105.0344,5.29,91,100,14.38
268,Kosh-Agach,RU,2021-12-15 18:26:45,50.0,88.6667,-19.16,92,15,3.74
269,Senftenberg,DE,2021-12-15 18:26:46,51.5167,14.0167,48.16,89,100,7.61
270,Catamarca,AR,2021-12-15 18:26:46,-28.4696,-65.7852,81.77,53,57,8.01
271,Cabo San Lucas,MX,2021-12-15 18:24:40,22.8909,-109.9124,85.51,50,24,3.0
272,Batagay-Alyta,RU,2021-12-15 18:26:47,67.8006,130.4114,-20.29,98,100,1.45
273,Mamallapuram,IN,2021-12-15 18:26:48,12.6264,80.1722,80.06,72,96,12.62
274,Chimbote,PE,2021-12-15 18:25:12,-9.0853,-78.5783,71.55,75,92,10.29
275,Nha Trang,VN,2021-12-15 18:24:34,12.25,109.1833,73.4,92,81,5.44
276,Zhicheng,CN,2021-12-15 18:26:51,30.2956,111.5047,51.35,80,100,3.83
277,Olinda,BR,2021-12-15 18:26:51,-8.0089,-34.8553,83.93,70,75,12.66
278,Brownsville,US,2021-12-15 18:26:52,25.9018,-97.4975,80.91,81,90,7.0
279,Erzin,TR,2021-12-15 18:26:52,36.9559,36.2,54.32,74,75,5.39
280,Amahai,ID,2021-12-15 18:26:54,-3.3333,128.9167,79.48,84,97,2.1
281,Ponferrada,ES,2021-12-15 18:24:54,42.5466,-6.5962,54.1,29,34,3.98
282,Wewak,PG,2021-12-15 18:26:55,-3.5534,143.6268,77.68,87,100,5.19
283,Sur,OM,2021-12-15 18:26:56,22.5667,59.5289,71.92,45,42,6.98
284,Barmer,IN,2021-12-15 18:26:56,25.75,71.3833,57.34,22,0,7.27
285,Sept-Iles,CA,2021-12-15 18:24:30,50.2001,-66.3821,25.05,61,75,5.01
286,Nome,US,2021-12-15 18:26:57,64.5011,-165.4064,8.67,72,90,33.38
287,Namibe,AO,2021-12-15 18:26:57,-15.1961,12.1522,69.69,76,10,7.45
288,Linxia,CN,2021-12-15 18:26:57,35.6003,103.2064,25.61,47,90,1.79
289,Slawno,PL,2021-12-15 18:26:58,54.3628,16.6789,46.35,88,98,15.88
